model_type,method,init,lr,momentum,test_mse,test_r2
polynomial,batch,zeros,0.01,0.9,4.853888819379684e+112,-8.700326650289417e+112
polynomial,batch,zeros,0.001,0.9,37402285952.738106,-67041524303.61721
polynomial,batch,zeros,0.0001,0.9,57.08436555464632,-101.32056098339386
polynomial,batch,xavier,0.01,0.9,4.592855071068414e+112,-8.23243812593963e+112
polynomial,batch,xavier,0.001,0.9,39468820488.39877,-70745672907.63277
polynomial,batch,xavier,0.0001,0.9,60.243642286858886,-106.98338940236472
polynomial,mini,zeros,0.01,0.9,inf,-inf
polynomial,mini,zeros,0.001,0.9,inf,-inf
polynomial,mini,zeros,0.0001,0.9,8.490072370846274,-14.217984107101909
polynomial,mini,xavier,0.01,0.9,inf,-inf
polynomial,mini,xavier,0.001,0.9,inf,-inf
polynomial,mini,xavier,0.0001,0.9,8.749357738598283,-14.682738756214617
polynomial,sto,zeros,0.01,0.9,,
polynomial,sto,zeros,0.001,0.9,inf,-inf
polynomial,sto,zeros,0.0001,0.9,1.651031062357173,-1.9593816601092873
polynomial,sto,xavier,0.01,0.9,,
polynomial,sto,xavier,0.001,0.9,inf,-inf
polynomial,sto,xavier,0.0001,0.9,1.6224965686938024,-1.9082351619281317
